filename,HSV Percentage
Tree1.jpg,81.35528564453125
Tree10.jpg,40.78369140625
Tree11.jpg,52.90985107421875
Tree12.jpg,61.51885986328125
Tree13.jpg,61.4654541015625
Tree14.jpg,56.34918212890625
Tree15.jpg,78.02734375
Tree16.jpg,48.07668740894051
Tree17.jpg,36.97357177734375
Tree18.jpg,46.98333740234375
Tree2.jpg,70.32699584960938
Tree3.jpg,61.917877197265625
Tree4.jpg,74.47242736816406
Tree5.jpg,56.30607604980469
Tree51.jpg,71.2188720703125
Tree52.jpg,55.82733154296875
Tree53.jpg,81.65283203125
Tree54.jpg,74.02191162109375
Tree55.jpg,70.00732421875
Tree56.jpg,64.36614990234375
Tree57.jpg,49.67803955078125
Tree58.jpg,57.18231201171875
Tree59.jpg,72.6165771484375
Tree6.jpg,60.41107177734375
Tree60.jpg,59.88616943359375
Tree7.jpg,57.06748962402344
Tree8.jpg,49.0875244140625
Tree9.jpg,52.4627685546875
